Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Reading,E06000038,163203,40,4080.075,-0.201,0.495,0.028,0.255,0.016,34.4,-1.572,-0.423,-1.342,0,0.133,78.7,-1.632,-0.993,-0.993,-1.267,-0.819,-1.577,0.803,11.135,1.992,-1.477,0.619,11.6694,54,33.088,12,7.353,37,22.671,3,1.838,17,10.416
England,0,1,0,Slough,E06000039,149112,33,4518.545,-0.691,0.495,0.004,0.544,0.038,34.8,0.191,0.245,-2.855,0,0.133,108.9,2.097,-0.855,-1.584,-1.687,-0.653,-1.659,0.77,11.686,-0.559,-2.216,0.619,12.0684,58,38.897,2,1.341,50,33.532,4,2.683,8,5.365
England,0,1,0,Windsor and Maidenhead,E06000040,150906,197,766.02,-0.691,0.504,0.024,0.142,0.006,42.1,-1.95,-1.09,-0.852,0,0.133,50.4,-0.826,-1.093,-0.983,-0.788,-0.868,0.035,0.785,11.429,-0.559,0.074,0.619,10.7974,59,39.097,16,10.603,39,25.844,4,2.651,20,13.253
England,0,1,0,Wokingham,E06000041,167979,179,938.43,-0.691,0.507,0.017,0.119,0.003,41.6,-1.514,-1.424,-0.794,0,0.133,46.7,-1.597,-0.045,-0.717,-1.219,-0.138,-0.268,0.8,11.242,-0.559,-0.244,0.619,10.8497,50,29.766,19,11.311,25,14.883,4,2.381,25,14.883
England,0,1,0,Milton Keynes,E06000042,268607,309,869.278,-0.191,0.505,0.008,0.201,0.013,37.6,-0.465,0.245,-0.705,0,0,71.4,-1.149,-0.835,-0.944,-0.884,-0.619,-1.466,0.795,10.631,-0.559,-1.472,0.619,10.8559,95,35.368,26,9.68,63,23.454,3,1.117,32,11.913
England,0,1,0,Brighton and Hove,E06000043,290395,83,3498.735,0.174,0.498,0.027,0.119,0.010,35.4,-2.375,1.246,0.869,0,0,72.9,-2.288,-1.538,-2.118,-0.585,-1.27,-1.296,0.815,10.953,2.225,-0.978,0.619,10.8699,54,18.595,13,4.477,39,13.43,1,0.344,15,5.165
England,0,1,0,Portsmouth,E06000044,215133,40,5378.325,0.451,0.49,0.024,0.117,0.008,33.9,0.181,1.246,0.278,3488,0,84.1,-1.879,-0.986,-1.28,-0.257,-0.74,-1.147,0.803,11.204,1.668,-0.711,0.619,12.4224,47,21.847,7,3.254,40,18.593,0,0,7,3.254
England,0,1,0,Southampton,E06000045,252796,50,5055.92,0.531,0.489,0.036,0.142,0.013,32.2,-0.415,1.246,-1.335,34468,0,80.7,-2.025,-0.84,-1.65,-0.813,-0.623,-1.352,0.803,11.235,1.704,-1.212,0.619,11.2241,59,23.339,9,3.56,47,18.592,3,1.187,12,4.747
England,0,1,0,Isle of Wight,E06000046,141538,380,372.468,-0.37,0.51,0.033,0.028,0.003,50.1,0.215,0.578,0.809,0,0,75.8,2.271,1.983,1.624,1.806,2.363,1.435,0.81,10.39,-0.559,2.361,0.619,9.2131,16,11.304,1,0.707,14,9.891,1,0.707,2,1.413
England,0,1,0,County Durham,E06000047,526980,2226,236.739,0.454,0.508,0.025,0.019,0.002,43.5,2.241,0.245,-0.067,0,0,78.5,0.201,0.736,0.841,0.82,0.861,-0.059,0.755,7.974,-0.559,0.663,0.219,6.5196,211,40.039,67,12.714,136,25.807,7,1.328,75,14.232
